[Instruction_Cache] NUMBER SETS: 4
[Instruction_Cache] INDEX BITS: 2
[Instruction_Cache] TAG BITS: 28
[Instruction_Cache] BLOCK OFFSET BITS: 0
[Data_Cache] NUMBER SETS: 4
[Data_Cache] INDEX BITS: 2
[Data_Cache] TAG BITS: 28
[Data_Cache] BLOCK OFFSET BITS: 0
      Time        addr       rdata valid ready          rw        addr       rdata       wdata wstrb valid ready
   1850 ns 0x000000020 0x0001e8e93     0     0           0 0x000000003 0x000000000 0x000000004  0x00     0     0
   1860 ns 0x000000020 0x0001e8e93     0     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   1870 ns 0x000000020 0x0001e8e93     0     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   1880 ns 0x000000020 0x0001e8e93     0     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   1890 ns 0x000000024 0x0001e8e93     1     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   1900 ns 0x000000024 0x0001e8e93     1     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   1910 ns 0x000000024 0x0001e8e93     1     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   1920 ns 0x000000024 0x0001e8e93     1     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   1930 ns 0x000000024 0x001c00def     1     1           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   1940 ns 0x000000024 0x001c00def     0     0           0 0x000000028 0x000000000 0x000000000  0x00     0     0
   1950 ns 0x000000024 0x001c00def     0     0           0 0x000000028 0x000000000 0x000000000  0x00     0     0
   1960 ns 0x000000024 0x001c00def     0     0           0 0x000000028 0x000000000 0x000000000  0x00     0     0
   1970 ns 0x000000024 0x001c00def     0     0           0 0x000000028 0x000000000 0x000000000  0x00     0     0
   1980 ns 0x000000040 0x001c00def     1     0           0 0x000000044 0x000000000 0x000000000  0x00     0     0
   1990 ns 0x000000040 0x001c00def     1     0           0 0x000000044 0x000000000 0x000000000  0x00     0     0
      2 us 0x000000040 0x001c00def     1     0           0 0x000000044 0x000000000 0x000000000  0x00     0     0
   2010 ns 0x000000040 0x001c00def     1     0           0 0x000000044 0x000000000 0x000000000  0x00     0     0
   2020 ns 0x000000040 0x0001f0f13     1     1           0 0x000000044 0x000000000 0x000000000  0x00     0     0
   2030 ns 0x000000040 0x0001f0f13     0     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
   2040 ns 0x000000040 0x0001f0f13     0     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   2050 ns 0x000000040 0x0001f0f13     0     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   2060 ns 0x000000040 0x0001f0f13     0     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   2070 ns 0x000000044 0x0001f0f13     1     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   2080 ns 0x000000044 0x0001f0f13     1     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   2090 ns 0x000000044 0x0001f0f13     1     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   2100 ns 0x000000044 0x0001f0f13     1     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   2110 ns 0x000000044 0x001c00def     1     1           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   2120 ns 0x000000044 0x001c00def     0     0           0 0x000000048 0x000000000 0x000000000  0x00     0     0
   2130 ns 0x000000044 0x001c00def     0     0           0 0x000000048 0x000000000 0x000000000  0x00     0     0
   2140 ns 0x000000044 0x001c00def     0     0           0 0x000000048 0x000000000 0x000000000  0x00     0     0
   2150 ns 0x000000044 0x001c00def     0     0           0 0x000000048 0x000000000 0x000000000  0x00     0     0
   2160 ns 0x000000060 0x001c00def     1     0           0 0x000000064 0x000000000 0x000000000  0x00     0     0
   2170 ns 0x000000060 0x001c00def     1     0           0 0x000000064 0x000000000 0x000000000  0x00     0     0
   2180 ns 0x000000060 0x001c00def     1     0           0 0x000000064 0x000000000 0x000000000  0x00     0     0
   2190 ns 0x000000060 0x001c00def     1     0           0 0x000000064 0x000000000 0x000000000  0x00     0     0
   2200 ns 0x000000060 0x0001f8f93     1     1           0 0x000000064 0x000000000 0x000000000  0x00     0     0
   2210 ns 0x000000060 0x0001f8f93     0     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
   2220 ns 0x000000060 0x0001f8f93     0     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   2230 ns 0x000000060 0x0001f8f93     0     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   2240 ns 0x000000060 0x0001f8f93     0     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   2250 ns 0x000000064 0x0001f8f93     1     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   2260 ns 0x000000064 0x0001f8f93     1     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   2270 ns 0x000000064 0x0001f8f93     1     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   2280 ns 0x000000064 0x0001f8f93     1     0           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   2290 ns 0x000000064 0x0fb9f9ee3     1     1           0 0x000000003 0x000000000 0x000000000  0x00     0     0
   2300 ns 0x000000064 0x0fb9f9ee3     0     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
   2310 ns 0x000000064 0x0fb9f9ee3     0     0           0 0x000000001 0x000000000 0x000000004  0x00     0     0
   2320 ns 0x000000064 0x0fb9f9ee3     0     0           0 0x000000001 0x000000000 0x000000004  0x00     0     0
   2330 ns 0x000000064 0x0fb9f9ee3     0     0           0 0x000000001 0x000000000 0x000000004  0x00     0     0
   2340 ns 0x000000020 0x0fb9f9ee3     1     0           0 0x000000001 0x000000000 0x000000004  0x00     0     0
   2350 ns 0x000000020 0x0fb9f9ee3     1     0           0 0x000000001 0x000000000 0x000000004  0x00     0     0
   2360 ns 0x000000020 0x0fb9f9ee3     1     0           0 0x000000001 0x000000000 0x000000004  0x00     0     0
